Test File,CB functon,Total Time (in s),Azure Operation,Time per hit
aws-security,"find",0.737689,"return self.svc.find(filter_name='tag:Name',filter_value=label)",0.368821
aws-security,"delete",1.54059,"firewall._vm_firewall.delete()",0.2567622
aws-security,"list",0.001723,"for r in firewall._vm_firewall.ip_permissions]",3.89e-05
aws-security,"create",2.00376,"firewall._vm_firewall.authorize_ingress(IpPermissions=ip_perms)",0.264305
aws-security,"create",2.00376,"firewall.refresh()",0.170452
aws-security,"delete",1.13273,"firewall._vm_firewall.revoke_ingress(IpPermissions=ip_perms)",0.2524845
aws-security,"delete",1.13273,"firewall.refresh()",0.166607
aws-security,"get",0.567762,"return self.svc.get(network_id)",0.094627
aws-security,"find",1.47682,"return self.svc.find(filter_name='tag:Name', filter_value=label)",0.2461202
aws-security,"get_or_create_default",1.54118,"snl = self.find(label=AWSSubnet.CB_DEFAULT_SUBNET_LABEL + '*')",0.2568257
aws-block_store,"label",0.476349,"self._ec2_instance.create_tags(Tags=[{'Key': 'Name','Value': value or ''}])",0.2381625
aws-block_store,"refresh",14.523,"self._ec2_instance.reload()",0.14099170000000003
aws-block_store,"label",1.35729,"self._volume.create_tags(Tags=[{'Key': 'Name', 'Value': value or ''}])",0.12337039999999999
aws-block_store,"description",0.104612,"self._volume.create_tags(Tags=[{'Key': 'Description','Value': value or ''}])",0.10461
aws-block_store,"refresh",7.74737,"self._volume.reload()",0.11562510000000001
aws-block_store,"label",0.799853,"self._snapshot.create_tags(Tags=[{'Key': 'Name','Value': value or ''}])",0.09994539999999999
aws-block_store,"description",0.104892,"self._snapshot.create_tags(Tags=[{'Key': 'Description', 'Value': value or ''}])",0.10489
aws-block_store,"refresh",5.26941,"self._snapshot.reload()",0.0878139
aws-block_store,"get",0.163409,"return self.svc.get(volume_id)",0.0817045
aws-block_store,"find",0.265743,"return self.svc.find(filter_name='tag:Name', filter_value=label)",0.1328425
aws-block_store,"list",0.667217,"return self.svc.list(limit=limit, marker=marker)",0.1668042
aws-block_store,"create",53.2855,"cb_vol.wait_till_ready()",7.1621173
aws-block_store,"delete",1.1909,"volume._volume.delete()",0.17012470000000002
aws-block_store,"get",0.303705,"return self.svc.get(snapshot_id)",0.0759262
aws-block_store,"find",2.06389,"obj_list = list(self)",0.8459845
aws-block_store,"list",7.99197,"return self.svc.list(limit=limit, marker=marker,OwnerIds=['self'])",0.3073815
aws-block_store,"create",55.711,"cb_snap.wait_till_ready()",55.327837
aws-block_store,"delete",0.67235,"snapshot._snapshot.delete()",0.22411170000000002
aws-block_store,"create",3.15817,"inst = self.svc.create('create_instances',ImageId=image_id,MinCount=1,MaxCount=1,KeyName=key_pair_name,SecurityGroupIds=vm_firewall_ids or None,UserData=str(user_data) or None,InstanceType=vm_size,Placement=placement,BlockDeviceMappings=bdm,SubnetId=subnet_id",1.110423
aws-block_store,"delete",0.615225,"aws_inst._ec2_instance.terminate()",0.3076095
aws-block_store,"find",0.660379,"return self.svc.find(filter_name='tag:Name', filter_value=label)",0.3301755
aws-block_store,"get_or_create_default",0.727776,"snl = self.find(label=AWSSubnet.CB_DEFAULT_SUBNET_LABEL + '*')",0.3638435
aws-object_life_cycle,"label",0.115102,"self._volume.create_tags(Tags=[{'Key': 'Name', 'Value': value or ''}])",0.115094
aws-object_life_cycle,"refresh",0.400173,"self._volume.reload()",0.080026
aws-object_life_cycle,"create",9.84804,"cb_vol = self.svc.create('create_volume', Size=size,AvailabilityZone=zone_id,SnapshotId=snapshot_id)",4.321521
aws-object_life_cycle,"create",9.84804,"cb_vol.wait_till_ready()",5.411356
aws-object_life_cycle,"delete",0.104595,"volume._volume.delete()",0.104592
aws-image,"label",0.541265,"self._ec2_image.create_tags(Tags=[{'Key': 'Name','Value': value or ''}])",0.1352742
aws-image,"refresh",2.61199,"self._ec2_image.reload()",0.11872680000000001
aws-image,"label",0.436325,"self._ec2_instance.create_tags(Tags=[{'Key': 'Name','Value': value or ''}])",0.2181465
aws-image,"refresh",9.5028,"self._ec2_instance.reload()",0.14618920000000002
aws-image,"get",0.094928,"return self.svc.get(snapshot_id)",0.094928
aws-image,"delete",0.584476,"snapshot._snapshot.delete()",0.584474
aws-image,"get",0.243766,"return self.svc.get(image_id)",0.121877
aws-image,"find",2.65148,"obj_list.extend(self.svc.find(filter_name='name',filter_value=label, **extra_args))",0.6128055
aws-image,"find",2.65148,"obj_list.extend(self.svc.find(filter_name='tag:Name',filter_value=label, **extra_args))",0.7129005
aws-image,"list",0.565674,"return self.svc.list(Owners=['self'] if filter_by_owner else['amazon', 'self'],limit=limit, marker=marker)",0.11313160000000001
aws-image,"create",4.28092,"inst = self.svc.create('create_instances',ImageId=image_id,MinCount=1,MaxCount=1,KeyName=key_pair_name,SecurityGroupIds=vm_firewall_ids or None,UserData=str(user_data) or None,InstanceType=vm_size,Placement=placement,BlockDeviceMappings=bdm,SubnetId=subnet_id",1.6989055
aws-image,"delete",0.353906,"aws_inst._ec2_instance.terminate()",0.17695
aws-image,"find",0.225429,"return self.svc.find(filter_name='tag:Name', filter_value=label)",0.225406
aws-image,"get_or_create_default",0.284701,"snl = self.find(label=AWSSubnet.CB_DEFAULT_SUBNET_LABEL + '*')",0.284614
aws-object_store,"find",0.138302,"matches = cb_helpers.generic_find(filters, kwargs, obj_list)",0.046073300000000005
aws-object_store,"get",0.323,"self.provider.s3_conn.meta.client.head_bucket(Bucket=bucket_id)",0.0381412
aws-object_store,"list",0.801255,"return self.svc.list(limit=limit, marker=marker)",0.0667712
aws-object_store,"create",23.1735,"self.provider.s3_conn.meta.client.head_bucket(Bucket=name)",2.8032116
aws-object_store,"delete",1.97919,"b._bucket.delete()",0.29434720000000003
aws-object_store,"get",0.125817,"obj.load()",0.028998799999999998
aws-object_store,"list",0.408806,"objects = [AWSBucketObject(self.provider, obj) for obj in boto_objs]",0.0453299
aws-object_store,"find",0.154444,"for o in bucket._bucket.objects.all()]",0.051104699999999996
aws-object_store,"create",0.015893,"obj = bucket._bucket.Object(name)",0.0031661999999999997
